Date,Long,Short,Total,% Long,% Short,Net Positions
10-Jul-12,"36,409","202,114","238,523",15%,85%,"-165,705"
3-Jul-12,"32,236","178,413","210,649",15%,85%,"-146,177"
26-Jun-12,"36,933","196,813","233,746",16%,84%,"-159,880"
19-Jun-12,"54,449","195,515","249,964",22%,78%,"-141,066"
12-Jun-12,"39,245","234,432","273,677",14%,86%,"-195,187"
5-Jun-12,"36,651","251,069","287,720",13%,87%,"-214,418"
29-May-12,"40,287","243,702","283,989",14%,86%,"-203,415"
22-May-12,"34,714","230,075","264,789",13%,87%,"-195,361"
15-May-12,"38,475","212,344","250,819",15%,85%,"-173,869"
8-May-12,"36,022","180,006","216,028",17%,83%,"-143,984"
1-May-12,"34,957","141,947","176,904",20%,80%,"-106,990"
24-Apr-12,"36,289","149,656","185,945",20%,80%,"-113,367"
17-Apr-12,"40,310","158,435","198,745",20%,80%,"-118,125"
10-Apr-12,"39,253","140,617","179,870",22%,78%,"-101,364"
3-Apr-12,"39,835","119,315","159,150",25%,75%,"-79,480"
27-Mar-12,"34,033","123,162","157,195",22%,78%,"-89,129"
20-Mar-12,"50,416","133,370","183,786",27%,73%,"-82,954"
13-Mar-12,"40,325","139,661","179,986",22%,78%,"-99,336"
6-Mar-12,"39,943","156,416","196,359",20%,80%,"-116,473"
28-Feb-12,"35,728","145,402","181,130",20%,80%,"-109,674"
21-Feb-12,"29,369","171,528","200,897",15%,85%,"-142,159"
14-Feb-12,"26,774","175,415","202,189",13%,87%,"-148,641"
7-Feb-12,"32,128","172,721","204,849",16%,84%,"-140,593"
31-Jan-12,"31,906","189,452","221,358",14%,86%,"-157,546"
24-Jan-12,"31,299","202,646","233,945",13%,87%,"-171,347"
17-Jan-12,"28,396","188,426","216,822",13%,87%,"-160,030"
10-Jan-12,"29,770","184,965","214,735",14%,86%,"-155,195"
3-Jan-12,"40,441","179,350","219,791",18%,82%,"-138,909"
27-Dec-11,"45,183","173,062","218,245",21%,79%,"-127,879"
20-Dec-11,"49,557","163,254","212,811",23%,77%,"-113,697"
13-Dec-11,"35,507","151,964","187,471",19%,81%,"-116,457"
6-Dec-11,"34,521","130,335","164,856",21%,79%,"-95,814"
29-Nov-11,"27,620","131,922","159,542",17%,83%,"-104,302"
22-Nov-11,"25,943","111,011","136,954",19%,81%,"-85,068"
15-Nov-11,"24,048","100,195","124,243",19%,81%,"-76,147"
8-Nov-11,"27,943","82,200","110,143",25%,75%,"-54,257"
1-Nov-11,"26,311","86,371","112,682",23%,77%,"-60,060"
25-Oct-11,"21,323","97,835","119,158",18%,82%,"-76,512"
18-Oct-11,"20,977","98,697","119,674",18%,82%,"-77,720"
11-Oct-11,"17,040","90,835","107,875",16%,84%,"-73,795"
4-Oct-11,"18,104","100,801","118,905",15%,85%,"-82,697"
27-Sep-11,"19,705","102,178","121,883",16%,84%,"-82,473"
20-Sep-11,"19,920","99,380","119,300",17%,83%,"-79,460"
13-Sep-11,"25,704","80,163","105,867",24%,76%,"-54,459"
6-Sep-11,"33,167","69,610","102,777",32%,68%,"-36,443"
30-Aug-11,"43,894","44,278","88,172",50%,50%,-384
23-Aug-11,"47,711","45,172","92,883",51%,49%,"2,539"
16-Aug-11,"47,094","40,368","87,462",54%,46%,"6,726"
9-Aug-11,"49,029","57,302","106,331",46%,54%,"-8,273"
2-Aug-11,"58,313","56,550","114,863",51%,49%,"1,763"
26-Jul-11,"60,177","43,139","103,316",58%,42%,"17,038"
19-Jul-11,"58,580","49,334","107,914",54%,46%,"9,246"
12-Jul-11,"61,392","48,976","110,368",56%,44%,"12,416"
5-Jul-11,"81,860","38,666","120,526",68%,32%,"43,194"
28-Jun-11,"68,800","35,813","104,613",66%,34%,"32,987"
21-Jun-11,"72,153","42,382","114,535",63%,37%,"29,771"
14-Jun-11,"84,580","34,686","119,266",71%,29%,"49,894"
7-Jun-11,"96,555","44,719","141,274",68%,32%,"51,836"
31-May-11,"80,494","58,524","139,018",58%,42%,"21,970"
24-May-11,"75,182","56,053","131,235",57%,43%,"19,129"
17-May-11,"89,941","48,296","138,237",65%,35%,"41,645"
10-May-11,"98,054","36,607","134,661",73%,27%,"61,447"
3-May-11,"128,460","28,944","157,404",82%,18%,"99,516"
26-Apr-11,"105,683","37,404","143,087",74%,26%,"68,279"
19-Apr-11,"102,686","40,491","143,177",72%,28%,"62,195"
12-Apr-11,"105,425","40,440","145,865",72%,28%,"64,985"
5-Apr-11,"99,405","39,548","138,953",72%,28%,"59,857"
29-Mar-11,"93,031","36,401","129,432",72%,28%,"56,630"
22-Mar-11,"81,574","33,221","114,795",71%,29%,"48,353"
15-Mar-11,"86,506","40,190","126,696",68%,32%,"46,316"
8-Mar-11,"98,171","35,877","134,048",73%,27%,"62,294"
1-Mar-11,"83,104","31,796","114,900",72%,28%,"51,308"
22-Feb-11,"77,454","31,856","109,310",71%,29%,"45,598"
15-Feb-11,"63,395","30,931","94,326",67%,33%,"32,464"
8-Feb-11,"73,502","38,768","112,270",65%,35%,"34,734"
1-Feb-11,"80,381","40,447","120,828",67%,33%,"39,934"
25-Jan-11,"73,488","50,587","124,075",59%,41%,"22,901"
18-Jan-11,"67,309","63,200","130,509",52%,48%,"4,109"
11-Jan-11,"42,359","87,541","129,900",33%,67%,"-45,182"
4-Jan-11,"37,102","61,303","98,405",38%,62%,"-24,201"
28-Dec-10,"33,833","60,312","94,145",36%,64%,"-26,479"
21-Dec-10,"38,604","52,697","91,301",42%,58%,"-14,093"
14-Dec-10,"35,689","45,993","81,682",44%,56%,"-10,304"
7-Dec-10,"32,322","47,612","79,934",40%,60%,"-15,290"
30-Nov-10,"47,264","54,512","101,776",46%,54%,"-7,248"
23-Nov-10,"43,670","51,963","95,633",46%,54%,"-8,293"
16-Nov-10,"54,708","46,102","100,810",54%,46%,"8,606"
9-Nov-10,"61,477","38,194","99,671",62%,38%,"23,283"
2-Nov-10,"70,185","31,575","101,760",69%,31%,"38,610"
26-Oct-10,"70,109","29,604","99,713",70%,30%,"40,505"
19-Oct-10,"74,855","28,107","102,962",73%,27%,"46,748"
12-Oct-10,"68,718","27,207","95,925",72%,28%,"41,511"
5-Oct-10,"72,979","24,736","97,715",75%,25%,"48,243"
28-Sep-10,"70,638","35,308","105,946",67%,33%,"35,330"
21-Sep-10,"52,300","47,203","99,503",53%,47%,"5,097"
14-Sep-10,"54,543","64,187","118,730",46%,54%,"-9,644"
7-Sep-10,"53,156","76,855","130,011",41%,59%,"-23,699"
31-Aug-10,"51,099","76,668","127,767",40%,60%,"-25,569"
24-Aug-10,"54,591","76,194","130,785",42%,58%,"-21,603"
17-Aug-10,"61,324","75,951","137,275",45%,55%,"-14,627"
10-Aug-10,"55,797","59,528","115,325",48%,52%,"-3,731"
3-Aug-10,"60,410","67,707","128,117",47%,53%,"-7,297"
27-Jul-10,"56,622","77,961","134,583",42%,58%,"-21,339"
20-Jul-10,"55,008","79,259","134,267",41%,59%,"-24,251"
13-Jul-10,"56,187","83,237","139,424",40%,60%,"-27,050"
6-Jul-10,"56,316","95,225","151,541",37%,63%,"-38,909"
29-Jun-10,"43,357","117,027","160,384",27%,73%,"-73,670"
22-Jun-10,"41,013","111,987","153,000",27%,73%,"-70,974"
15-Jun-10,"49,526","111,886","161,412",31%,69%,"-62,360"
8-Jun-10,"45,938","157,883","203,821",23%,77%,"-111,945"
1-Jun-10,"45,006","138,331","183,337",25%,75%,"-93,325"
25-May-10,"45,630","152,366","197,996",23%,77%,"-106,736"
18-May-10,"54,411","161,554","215,965",25%,75%,"-107,143"
11-May-10,"39,584","153,474","193,058",21%,79%,"-113,890"
4-May-10,"36,675","140,077","176,752",21%,79%,"-103,402"
27-Apr-10,"34,462","123,475","157,937",22%,78%,"-89,013"
20-Apr-10,"33,614","105,038","138,652",24%,76%,"-71,424"
13-Apr-10,"37,157","92,621","129,778",29%,71%,"-55,464"
6-Apr-10,"39,036","106,259","145,295",27%,73%,"-67,223"
30-Mar-10,"35,205","120,531","155,736",23%,77%,"-85,326"
23-Mar-10,"39,953","114,870","154,823",26%,74%,"-74,917"
16-Mar-10,"41,800","88,141","129,941",32%,68%,"-46,341"
9-Mar-10,"32,589","107,140","139,729",23%,77%,"-74,551"
2-Mar-10,"35,894","102,664","138,558",26%,74%,"-66,770"
23-Feb-10,"32,728","104,351","137,079",24%,76%,"-71,623"
16-Feb-10,"34,459","93,881","128,340",27%,73%,"-59,422"
9-Feb-10,"34,867","92,019","126,886",27%,73%,"-57,152"
2-Feb-10,"31,207","74,948","106,155",29%,71%,"-43,741"
26-Jan-10,"33,106","72,645","105,751",31%,69%,"-39,539"
19-Jan-10,"34,186","59,468","93,654",37%,63%,"-25,282"
12-Jan-10,"36,186","54,103","90,289",40%,60%,"-17,917"
5-Jan-10,"37,229","73,017","110,246",34%,66%,"-35,788"
29-Dec-09,"34,132","67,929","102,061",33%,67%,"-33,797"
22-Dec-09,"40,925","55,252","96,177",43%,57%,"-14,327"
15-Dec-09,"42,987","59,435","102,422",42%,58%,"-16,448"
8-Dec-09,"52,035","52,546","104,581",50%,50%,-511
1-Dec-09,"71,123","48,972","120,095",59%,41%,"22,151"
24-Nov-09,"70,841","52,374","123,215",57%,43%,"18,467"
17-Nov-09,"64,268","52,312","116,580",55%,45%,"11,956"
9-Nov-09,"67,904","42,731","110,635",61%,39%,"25,173"
3-Nov-09,"64,023","41,832","105,855",60%,40%,"22,191"
27-Oct-09,"67,843","34,974","102,817",66%,34%,"32,869"
20-Oct-09,"77,829","41,796","119,625",65%,35%,"36,033"
13-Oct-09,"79,762","36,395","116,157",69%,31%,"43,367"
6-Oct-09,"86,229","35,184","121,413",71%,29%,"51,045"
29-Sep-09,"77,852","38,086","115,938",67%,33%,"39,766"
22-Sep-09,"76,545","38,545","115,090",67%,33%,"38,000"
15-Sep-09,"74,562","36,790","111,352",67%,33%,"37,772"
8-Sep-09,"56,543","38,510","95,053",59%,41%,"18,033"
1-Sep-09,"42,624","33,607","76,231",56%,44%,"9,017"
25-Aug-09,"48,251","30,080","78,331",62%,38%,"18,171"
18-Aug-09,"38,823","33,091","71,914",54%,46%,"5,732"
11-Aug-09,"46,396","29,585","75,981",61%,39%,"16,811"
4-Aug-09,"61,443","34,337","95,780",64%,36%,"27,106"
28-Jul-09,"55,671","35,384","91,055",61%,39%,"20,287"
21-Jul-09,"66,273","31,501","97,774",68%,32%,"34,772"
14-Jul-09,"44,406","30,507","74,913",59%,41%,"13,899"
7-Jul-09,"49,042","38,730","87,772",56%,44%,"10,312"
30-Jun-09,"47,701","30,482","78,183",61%,39%,"17,219"
23-Jun-09,"48,252","30,829","79,081",61%,39%,"17,423"
16-Jun-09,"39,854","27,369","67,223",59%,41%,"12,485"
9-Jun-09,"49,185","34,161","83,346",59%,41%,"15,024"
2-Jun-09,"48,585","41,792","90,377",54%,46%,"6,793"
26-May-09,"47,203","31,619","78,822",60%,40%,"15,584"
19-May-09,"41,754","29,504","71,258",59%,41%,"12,250"
12-May-09,"41,355","30,940","72,295",57%,43%,"10,415"
5-May-09,"35,025","31,657","66,682",53%,47%,"3,368"
28-Apr-09,"30,292","32,365","62,657",48%,52%,"-2,073"
21-Apr-09,"29,708","28,111","57,819",51%,49%,"1,597"
14-Apr-09,"32,836","27,261","60,097",55%,45%,"5,575"
7-Apr-09,"31,596","27,724","59,320",53%,47%,"3,872"
31-Mar-09,"31,906","29,641","61,547",52%,48%,"2,265"
24-Mar-09,"32,680","38,138","70,818",46%,54%,"-5,458"
17-Mar-09,"33,657","42,696","76,353",44%,56%,"-9,039"
10-Mar-09,"33,930","44,162","78,092",43%,57%,"-10,232"
3-Mar-09,"34,175","53,606","87,781",39%,61%,"-19,431"
24-Feb-09,"33,201","43,282","76,483",43%,57%,"-10,081"
17-Feb-09,"32,809","48,246","81,055",40%,60%,"-15,437"
10-Feb-09,"33,943","43,937","77,880",44%,56%,"-9,994"
3-Feb-09,"35,350","44,402","79,752",44%,56%,"-9,052"
27-Jan-09,"32,077","39,566","71,643",45%,55%,"-7,489"
20-Jan-09,"27,780","35,360","63,140",44%,56%,"-7,580"
13-Jan-09,"26,970","36,318","63,288",43%,57%,"-9,348"
6-Jan-09,"33,733","36,108","69,841",48%,52%,"-2,375"
30-Dec-08,"32,529","35,733","68,262",48%,52%,"-3,204"
22-Dec-08,"30,977","34,622","65,599",47%,53%,"-3,645"
16-Dec-08,"30,798","37,424","68,222",45%,55%,"-6,626"
9-Dec-08,"29,347","46,015","75,362",39%,61%,"-16,668"
2-Dec-08,"29,631","49,828","79,459",37%,63%,"-20,197"
25-Nov-08,"27,389","48,867","76,256",36%,64%,"-21,478"
18-Nov-08,"29,073","46,431","75,504",39%,61%,"-17,358"
11-Nov-08,"25,967","46,588","72,555",36%,64%,"-20,621"
4-Nov-08,"27,825","49,258","77,083",36%,64%,"-21,433"
28-Oct-08,"25,409","54,461","79,870",32%,68%,"-29,052"
21-Oct-08,"23,536","54,156","77,692",30%,70%,"-30,620"
14-Oct-08,"24,274","54,374","78,648",31%,69%,"-30,100"
7-Oct-08,"32,058","50,720","82,778",39%,61%,"-18,662"
30-Sep-08,"27,472","56,404","83,876",33%,67%,"-28,932"
23-Sep-08,"33,266","64,323","97,589",34%,66%,"-31,057"
16-Sep-08,"35,314","75,968","111,282",32%,68%,"-40,654"
9-Sep-08,"35,890","72,322","108,212",33%,67%,"-36,432"
2-Sep-08,"37,997","76,620","114,617",33%,67%,"-38,623"
26-Aug-08,"36,026","69,804","105,830",34%,66%,"-33,778"
19-Aug-08,"39,958","60,322","100,280",40%,60%,"-20,364"
12-Aug-08,"39,822","59,249","99,071",40%,60%,"-19,427"
5-Aug-08,"55,538","64,985","120,523",46%,54%,"-9,447"
29-Jul-08,"51,585","67,803","119,388",43%,57%,"-16,218"
22-Jul-08,"70,588","66,517","137,105",51%,49%,"4,071"
15-Jul-08,"85,052","62,003","147,055",58%,42%,"23,049"
8-Jul-08,"81,210","57,203","138,413",59%,41%,"24,007"
1-Jul-08,"88,162","60,479","148,641",59%,41%,"27,683"
24-Jun-08,"57,904","56,472","114,376",51%,49%,"1,432"
17-Jun-08,"49,514","58,804","108,318",46%,54%,"-9,290"
10-Jun-08,"57,544","65,084","122,628",47%,53%,"-7,540"
3-Jun-08,"55,845","70,299","126,144",44%,56%,"-14,454"
27-May-08,"64,503","67,893","132,396",49%,51%,"-3,390"
20-May-08,"70,240","63,399","133,639",53%,47%,"6,841"
13-May-08,"55,409","64,908","120,317",46%,54%,"-9,499"
6-May-08,"54,383","66,895","121,278",45%,55%,"-12,512"
29-Apr-08,"48,319","69,634","117,953",41%,59%,"-21,315"
22-Apr-08,"81,612","62,705","144,317",57%,43%,"18,907"
15-Apr-08,"77,532","57,439","134,971",57%,43%,"20,093"
8-Apr-08,"86,826","57,391","144,217",60%,40%,"29,435"
1-Apr-08,"80,290","51,218","131,508",61%,39%,"29,072"
25-Mar-08,"90,956","48,185","139,141",65%,35%,"42,771"
18-Mar-08,"78,310","51,789","130,099",60%,40%,"26,521"
11-Mar-08,"81,646","52,547","134,193",61%,39%,"29,099"
4-Mar-08,"73,238","41,228","114,466",64%,36%,"32,010"
26-Feb-08,"75,598","43,820","119,418",63%,37%,"31,778"
19-Feb-08,"60,926","46,196","107,122",57%,43%,"14,730"
12-Feb-08,"55,016","44,721","99,737",55%,45%,"10,295"
5-Feb-08,"60,106","47,542","107,648",56%,44%,"12,564"
29-Jan-08,"62,078","39,622","101,700",61%,39%,"22,456"
22-Jan-08,"65,581","41,836","107,417",61%,39%,"23,745"
15-Jan-08,"81,812","36,830","118,642",69%,31%,"44,982"
8-Jan-08,"85,915","34,013","119,928",72%,28%,"51,902"
31-Dec-07,"71,697","35,042","106,739",67%,33%,"36,655"
24-Dec-07,"68,111","37,470","105,581",65%,35%,"30,641"
18-Dec-07,"67,396","36,247","103,643",65%,35%,"31,149"
11-Dec-07,"91,012","27,638","118,650",77%,23%,"63,374"
4-Dec-07,"93,659","24,542","118,201",79%,21%,"69,117"
27-Nov-07,"91,335","24,779","116,114",79%,21%,"66,556"
20-Nov-07,"98,548","28,520","127,068",78%,22%,"70,028"
13-Nov-07,"98,821","29,392","128,213",77%,23%,"69,429"
6-Nov-07,"109,002","32,954","141,956",77%,23%,"76,048"
30-Oct-07,"100,809","31,961","132,770",76%,24%,"68,848"
23-Oct-07,"100,683","31,667","132,350",76%,24%,"69,016"
16-Oct-07,"116,748","30,144","146,892",79%,21%,"86,604"
9-Oct-07,"117,894","30,728","148,622",79%,21%,"87,166"
2-Oct-07,"132,323","37,883","170,206",78%,22%,"94,440"
25-Sep-07,"122,295","38,847","161,142",76%,24%,"83,448"
18-Sep-07,"123,169","37,120","160,289",77%,23%,"86,049"
11-Sep-07,"86,476","28,262","114,738",75%,25%,"58,214"
4-Sep-07,"78,483","31,838","110,321",71%,29%,"46,645"
28-Aug-07,"74,495","31,669","106,164",70%,30%,"42,826"
21-Aug-07,"74,037","35,574","109,611",68%,32%,"38,463"
14-Aug-07,"90,832","26,158","116,990",78%,22%,"64,674"
7-Aug-07,"111,634","32,605","144,239",77%,23%,"79,029"
31-Jul-07,"104,189","25,736","129,925",80%,20%,"78,453"
24-Jul-07,"126,890","30,475","157,365",81%,19%,"96,415"
17-Jul-07,"123,364","24,179","147,543",84%,16%,"99,185"
10-Jul-07,"129,843","26,947","156,790",83%,17%,"102,896"
3-Jul-07,"101,643","25,119","126,762",80%,20%,"76,524"
26-Jun-07,"92,876","25,443","118,319",78%,22%,"67,433"
19-Jun-07,"85,173","38,832","124,005",69%,31%,"46,341"
12-Jun-07,"93,562","42,924","136,486",69%,31%,"50,638"
5-Jun-07,"119,341","34,376","153,717",78%,22%,"84,965"
29-May-07,"124,206","29,887","154,093",81%,19%,"94,319"
22-May-07,"126,860","31,573","158,433",80%,20%,"95,287"
15-May-07,"146,922","27,384","174,306",84%,16%,"119,538"
8-May-07,"130,342","25,072","155,414",84%,16%,"105,270"
1-May-07,"135,399","28,711","164,110",83%,17%,"106,688"
24-Apr-07,"137,322","26,040","163,362",84%,16%,"111,282"
17-Apr-07,"129,044","22,274","151,318",85%,15%,"106,770"
10-Apr-07,"126,947","22,553","149,500",85%,15%,"104,394"
3-Apr-07,"118,379","23,301","141,680",84%,16%,"95,078"
27-Mar-07,"116,347","22,606","138,953",84%,16%,"93,741"
20-Mar-07,"106,188","18,232","124,420",85%,15%,"87,956"
13-Mar-07,"113,009","16,854","129,863",87%,13%,"96,155"
6-Mar-07,"107,164","18,485","125,649",85%,15%,"88,679"
27-Feb-07,"123,508","20,910","144,418",86%,14%,"102,598"
20-Feb-07,"117,811","18,485","136,296",86%,14%,"99,326"
13-Feb-07,"105,371","21,576","126,947",83%,17%,"83,795"
6-Feb-07,"74,223","28,893","103,116",72%,28%,"45,330"
30-Jan-07,"85,505","22,926","108,431",79%,21%,"62,579"
23-Jan-07,"77,516","16,506","94,022",82%,18%,"61,010"
16-Jan-07,"67,482","13,940","81,422",83%,17%,"53,542"
9-Jan-07,"93,415","18,243","111,658",84%,16%,"75,172"
3-Jan-07,"98,245","20,789","119,034",83%,17%,"77,456"
26-Dec-06,"100,959","20,989","121,948",83%,17%,"79,970"
19-Dec-06,"110,993","19,023","130,016",85%,15%,"91,970"
12-Dec-06,"112,188","15,505","127,693",88%,12%,"96,683"
5-Dec-06,"115,201","16,936","132,137",87%,13%,"98,265"
28-Nov-06,"107,372","17,778","125,150",86%,14%,"89,594"
21-Nov-06,"84,717","19,411","104,128",81%,19%,"65,306"
14-Nov-06,"81,912","21,437","103,349",79%,21%,"60,475"
7-Nov-06,"96,738","27,813","124,551",78%,22%,"68,925"
31-Oct-06,"84,563","24,515","109,078",78%,22%,"60,048"
24-Oct-06,"70,934","43,783","114,717",62%,38%,"27,151"
17-Oct-06,"69,850","43,258","113,108",62%,38%,"26,592"
10-Oct-06,"69,105","32,577","101,682",68%,32%,"36,528"
3-Oct-06,"76,049","19,832","95,881",79%,21%,"56,217"
26-Sep-06,"67,422","17,480","84,902",79%,21%,"49,942"
19-Sep-06,"69,197","18,083","87,280",79%,21%,"51,114"
12-Sep-06,"79,626","12,909","92,535",86%,14%,"66,717"
5-Sep-06,"86,223","11,207","97,430",88%,12%,"75,016"
29-Aug-06,"88,423","8,786","97,209",91%,9%,"79,637"
22-Aug-06,"89,994","8,524","98,518",91%,9%,"81,470"
15-Aug-06,"99,050","8,846","107,896",92%,8%,"90,204"
8-Aug-06,"101,133","9,025","110,158",92%,8%,"92,108"
1-Aug-06,"85,072","11,643","96,715",88%,12%,"73,429"
25-Jul-06,"66,687","16,386","83,073",80%,20%,"50,301"
18-Jul-06,"67,816","16,122","83,938",81%,19%,"51,694"
11-Jul-06,"92,291","14,396","106,687",87%,13%,"77,895"
3-Jul-06,"87,088","18,543","105,631",82%,18%,"68,545"
27-Jun-06,"77,942","13,272","91,214",85%,15%,"64,670"
20-Jun-06,"66,017","13,527","79,544",83%,17%,"52,490"
